Sex	Height	HeightF	HeightM	ChildFF	ChildF	ChildMM	ChildM
female	169	173	170	4	3	3	3
female	177	192	165	4	2	5	2
female	167	174	169	4	2	3	2
female	180	190	178	3	2	2	3
female	160	175	170	3	2	3	2
female	172	176	175	1	2	3	2
female	166	183	164	3	2	2	2
female	172	181	168	3	3	4	3
male	182	192	169	5	2	4	2
male	176	182	172	4	3	3	3
male	182	171	165	4	4	2	3
female	186	193	167	4	3	3	3
male	182	198	167	2	2	2	2
female	176	181	163	2	1	2	1
female	164	174	160	3	2	3	2
female	183	189	172	4	2	3	2
female	163	192	163	3	2	3	2
female	159	183	164	6	6	2	6
female	170	185	168	1	2	3	2
male	187	188	166	3	1	2	1
female	170	182	162	2	3	1	3
female	188	187	178	3	3	2	3
male	189	184	172	3	2	4	2
female	175	182	165	3	3	2	2
female	161	167	161	6	3	3	3
male	173	183	162	2	3	1	4
female	172	180	170	3	3	2	3
male	183	175	168	2	2	1	2
female	180	180	165	3	4	10	4
male	180	189	168	3	3	5	2
male	182	175	170	6	4	4	4
female	164	180	161	2	2	3	2
male	195	190	176	4	2	4	2
female	165	180	164	5	4	5	4
female	167	185	157	2	3	2	2
male	178	184	165	3	2	3	2
female	170	177	168	3	1	2	1
female	164	192	168	3	4	3	4
female	175	180	165	2	2	4	2
female	160	175	160	4	2	3	5
male	193	196	178	1	2	2	2
female	175	183	173	2	3	6	4
female	176	186	167	2	3	5	3
female	173	185	182	3	2	3	2
female	168	191	167	3	4	4	2
female	170	192	168	3	2	4	2
female	174	175	170	2	3	2	3
female	162	178	163	4	3	5	3
male	194	184	174	4	1	3	1
female	167	174	157	4	2	3	2
female	163	177	166	4	3	3	2
female	180	190	170	5	3	5	3
male	179	174	170	2	3	2	1
male	190	190	165	1	2	4	2
female	176	176	184	1	1	3	2
male	194	182	175	3	2	3	2
male	175	178	163	5	3	4	3
female	177	194	169	2	2	2	2
female	169	180	171	3	2	3	2
female	163	180	152	5	2	3	2
female	158	172	155	3	3	5	3
male	175	178	168	2	3	3	3
female	171	185	172	6	3	1	3
male	182	177	176	2	3	3	2
female	173	184	165	3	3	2	2
female	174	185	163	4	2	3	2
male	181	182	165	1	2	3	2
male	189	186	166	5	2	2	2
female	160	180	169	3	3	4	3
female	165	183	168	5	3	3	3
female	160	173	165	2	1	4	1
female	170	190	160	3	2	2	2
female	169	187	161	2	2	11	2
female	170	181	169	3	2	3	4
male	193	180	165	2	1	2	1
female	166	172	165	2	3	3	1
male	178	189	169	2	2	5	5
female	182	187	172	3	2	3	2
female	163	175	170	3	2	5	2
male	183	183	175	3	3	3	3
female	178	177	177	3	4	3	4
male	196	170	172	7	7	4	2
female	170	180	164	3	1	1	3
female	170	172	165	4	3	3	3
female	158	178	167	3	2	2	2
female	176	180	163	4	1	4	1
female	170	174	163	2	3	1	3
female	168	190	170	3	2	3	2
female	170	185	168	3	3	4	3
female	170	180	150	3	3	3	3
female	165	190	165	3	3	6	3
female	165	177	168	3	2	3	2
male	187	176	175	9	2	3	2
female	161	178	166	4	3	4	3
male	177	177	165	4	3	4	3
female	172	183	175	3	3	2	3
male	172	170	157	2	1	4	2
female	181	198	167	2	2	2	2
female	177	185	179	4	2	2	2
female	173	180	163	3	4	1	4
male	178	180	168	4	2	6	3
female	167	175	176	3	2	2	2
male	185	183	170	3	2	3	3
male	185	172	162	4	3	10	3
male	178	178	160	3	2	2	2
female	162	178	167	3	2	1	2
male	184	176	165	4	2	2	2
female	176	181	175	4	2	2	2
female	168	175	164	4	1	5	2
male	176	170	165	2	3	2	3
male	176	187	163	2	2	2	2
female	164	184	162	2	3	3	3
male	174	172	167	3	2	2	2
female	177	180	171	3	3	3	2
female	173	175	167	7	2	2	2
female	158	176	164	3	7	6	7
female	176	178	170	2	2	1	2
female	175	195	170	5	4	4	4
male	175	175	170	5	2	2	3
male	180	179	165	2	2	2	2
female	166	180	170	2	2	3	2
male	189	183	170	4	2	2	2
male	203	186	180	3	2	2	1
female	156	168	169	3	3	3	3
male	185	186	160	2	2	1	2
female	167	178	180	4	2	3	2
female	173	191	164	5	3	4	4
male	196	190	164	2	2	3	2
male	193	180	168	3	3	3	2
male	192	178	180	2	3	3	3
female	177	197	158	4	2	4	2
female	158	182	155	12	4	2	2
male	189	185	169	3	2	3	2
female	173	176	164	3	2	2	2
male	184	188	169	4	2	3	2
female	165	185	165	4	3	2	2
female	174	182	179	1	3	2	2
male	186	178	174	3	1	3	1
female	172	186	180	3	2	2	2
male	193	185	174	4	2	4	4
male	183	193	165	3	2	2	2
female	169	166	172	2	3	3	1
female	175	182	187	5	2	3	2
female	174	183	167	3	2	2	2
female	175	188	176	2	3	2	2
female	175	187	173	4	2	6	2
female	174	193	158	4	3	3	2
female	173	193	164	4	3	3	3
female	158	186	158	4	1	3	1
female	168	187	168	2	3	2	3
female	172	186	170	4	2	2	1
female	167	175	170	2	3	2	3
male	173	185	155	3	2	3	2
female	164	178	162	2	2	5	2
female	175	182	174	3	2	3	2
female	176	184	164	2	2	3	2
female	180	190	178	3	2	3	2
female	170	183	166	3	2	2	2
female	172	190	170	2	3	1	3
female	162	180	187	2	2	3	2
female	180	189	167	2	2	3	2
male	182	178	166	2	2	2	2
female	174	175	174	1	3	8	3
male	178	180	160	4	4	4	4
male	200	165	180	2	2	1	4
female	162	175	160	5	2	3	2
male	178	178	162	3	2	3	2
male	187	183	167	3	2	2	2
female	165	182	170	2	3	2	3
female	167	171	155	9	2	6	2
female	174	184	169	3	3	2	2
male	194	197	172	2	1	2	1
female	168	186	160	3	1	2	2
female	169	183	169	3	4	3	3
female	191	178	173	3	4	2	4
female	164	187	163	3	2	3	2
male	185	185	170	4	3	3	3
female	166	185	187	2	2	2	2
female	170	169	168	3	2	2	2
male	188	185	174	2	4	2	3
female	167	185	164	5	5	5	1
male	196	193	166	2	2	2	2
male	183	182	181	2	3	4	3
male	183	176	178	2	2	2	2
female	164	163	165	2	3	3	3
female	164	174	174	2	1	1	7
female	164	181	169	3	2	1	2
female	166	174	167	2	2	2	2
male	180	180	165	1	2	2	1
female	175	183	173	3	3	3	1
male	198	187	182	2	4	2	2
male	180	188	168	4	3	2	3
female	160	175	158	4	4	3	2
female	167	178	164	4	3	3	2
female	175	181	177	4	3	2	3
female	163	176	173	4	2	3	2
female	156	172	154	3	3	4	2
female	160	180	158	5	2	3	2
female	158	168	168	3	2	3	2
female	165	175	171	3	2	3	2
